date,league,home,away,home_goals,away_goals,total_goals,actual,pred,correct,actual_over,pred_over,correct_ou,actual_btts,pred_btts,correct_btts,p_home,p_draw,p_away,p_over,p_btts
2025-08-19,LeagueOne,Port Vale,Stevenage,1,2,3,A,A,1,1,UNDER,0,1,NG,0,0.3113,0.3076,0.3811,0.4286,0.4862
2025-08-19,LeagueOne,Luton,Wigan,1,0,1,H,H,1,0,UNDER,1,0,NG,1,0.511,0.2928,0.1962,0.4286,0.507
2025-08-19,LeagueOne,Wycombe,Exeter,0,1,1,A,H,0,0,OVER,0,0,GG,0,0.5008,0.2726,0.2266,0.5714,0.5476
2025-08-19,LeagueOne,Stockport,Bradford,1,2,3,A,H,0,1,OVER,1,1,NG,0,0.5594,0.3045,0.1362,0.5962,0.507
2025-08-19,LeagueOne,Plymouth,Leyton Orient,0,1,1,A,A,1,0,OVER,0,0,GG,0,0.2991,0.223,0.4779,0.7143,0.5476
2025-08-19,LaLiga,Real Madrid,Osasuna,1,0,1,H,H,1,0,OVER,0,0,NG,1,0.7351,0.2296,0.0353,0.6607,0.4862
2025-08-19,LeagueOne,Northampton,Lincoln,0,1,1,A,A,1,0,OVER,0,0,NG,1,0.2281,0.288,0.4838,0.5094,0.507
2025-08-19,LeagueOne,Mansfield,Blackpool,2,0,2,H,H,1,0,OVER,0,0,GG,0,0.3398,0.3378,0.3224,0.5094,0.5476
2025-08-19,LeagueOne,Huddersfield,Doncaster,2,0,2,H,H,1,0,OVER,0,0,GG,0,0.523,0.2404,0.2366,0.5714,0.5689
2025-08-19,LeagueOne,AFC Wimbledon,Cardiff,0,1,1,A,A,1,0,OVER,0,0,NG,1,0.2853,0.3303,0.3844,0.5094,0.507
2025-08-19,LeagueOne,Peterboro,Barnsley,0,1,1,A,A,1,0,OVER,0,0,GG,0,0.3052,0.273,0.4218,0.7143,0.6071
2025-08-20,LeagueOne,Bolton,Reading,1,1,2,D,H,0,0,OVER,0,1,GG,1,0.5741,0.2188,0.207,0.5962,0.5476
2025-08-22,Bundesliga,Bayern Munich,RB Leipzig,6,0,6,H,H,1,1,OVER,1,0,GG,0,0.7087,0.2277,0.0636,0.8,0.5476
2025-08-22,Ligue1,Paris SG,Angers,1,0,1,H,H,1,0,UNDER,1,0,NG,1,0.7493,0.2173,0.0334,0.475,0.3869
2025-08-22,LaLiga,Betis,Alaves,1,0,1,H,H,1,0,UNDER,1,0,NG,1,0.4793,0.3396,0.1811,0.3704,0.4862
2025-08-22,Championship,Derby,Bristol City,1,1,2,D,A,0,0,UNDER,1,1,NG,0,0.3558,0.2325,0.4117,0.4,0.507
2025-08-22,EPL,West Ham,Chelsea,1,5,6,A,A,1,1,OVER,1,1,GG,1,0.1403,0.2365,0.6232,0.5556,0.6471
2025-08-23,Championship,Wrexham,Sheffield Weds,2,2,4,D,H,0,1,OVER,1,1,NG,0,0.5785,0.2311,0.1905,0.529,0.507
2025-08-23,Championship,Birmingham,Oxford,1,0,1,H,H,1,0,OVER,0,0,NG,1,0.7058,0.2306,0.0637,0.529,0.507
2025-08-23,Bundesliga,Leverkusen,Hoffenheim,1,2,3,A,H,0,1,OVER,1,1,GG,1,0.5682,0.2141,0.2177,0.6825,0.5689
2025-08-23,PrimeiraLiga,Benfica,Tondela,3,0,3,H,H,1,1,OVER,1,0,NG,1,0.8731,0.0916,0.0353,0.8148,0.507
2025-08-23,PrimeiraLiga,Arouca,Rio Ave,3,3,6,D,H,0,1,UNDER,0,1,GG,1,0.3719,0.3369,0.2912,0.463,0.5476
2025-08-23,PrimeiraLiga,Nacional,Sp Lisbon,1,4,5,A,A,1,1,OVER,1,1,NG,0,0.1311,0.0939,0.7749,0.6154,0.507
2025-08-23,Bundesliga,Heidenheim,Wolfsburg,1,3,4,A,A,1,1,OVER,1,1,GG,1,0.3054,0.2324,0.4623,0.5094,0.5476
2025-08-23,EPL,Burnley,Sunderland,2,0,2,H,H,1,0,UNDER,1,0,NG,1,0.5199,0.283,0.197,0.375,0.507
2025-08-23,EPL,Brentford,Aston Villa,1,0,1,H,A,0,0,OVER,0,0,GG,0,0.3068,0.2287,0.4645,0.5556,0.5689
2025-08-23,EPL,Bournemouth,Wolves,1,0,1,H,H,1,0,UNDER,1,0,GG,0,0.5439,0.25,0.2061,0.4884,0.5689
2025-08-23,EPL,Man City,Tottenham,0,2,2,A,H,0,0,OVER,0,0,NG,1,0.709,0.2278,0.0632,0.5556,0.507
2025-08-23,Bundesliga,Freiburg,Augsburg,1,3,4,A,H,0,1,OVER,1,1,NG,0,0.4974,0.2744,0.2281,0.5,0.4862
2025-08-23,PrimeiraLiga,Moreirense,Guimaraes,2,0,2,H,A,0,0,UNDER,1,0,GG,0,0.3078,0.2774,0.4148,0.3529,0.5476
2025-08-23,Bundesliga,St Pauli,Dortmund,3,3,6,D,A,0,1,OVER,1,1,NG,0,0.1886,0.2232,0.5882,0.5094,0.507
2025-08-23,Bundesliga,Union Berlin,Stuttgart,2,1,3,H,A,0,1,OVER,1,1,GG,1,0.2323,0.2477,0.52,0.5333,0.5476
2025-08-23,Bundesliga,Ein Frankfurt,Werder Bremen,4,1,5,H,H,1,1,OVER,1,1,GG,1,0.5802,0.2318,0.188,0.6825,0.6071
2025-08-23,Championship,Preston,Ipswich,1,0,1,H,A,0,0,UNDER,1,0,NG,1,0.2998,0.2962,0.404,0.4173,0.507
2025-08-23,Championship,Sheffield United,Millwall,0,1,1,A,H,0,0,UNDER,1,0,NG,1,0.4013,0.3635,0.2352,0.4,0.4862
2025-08-23,Championship,Coventry,QPR,7,1,8,H,H,1,1,OVER,1,1,GG,1,0.5876,0.2239,0.1885,0.529,0.5689
2025-08-23,Championship,Norwich,Middlesbrough,1,2,3,A,A,1,1,UNDER,0,1,GG,1,0.3117,0.2809,0.4074,0.4173,0.5689
2025-08-23,Championship,Swansea,Watford,1,1,2,D,H,0,0,UNDER,1,1,NG,0,0.4384,0.3194,0.2422,0.4173,0.507
2025-08-23,Championship,Hull,Blackburn,0,3,3,A,H,0,1,UNDER,0,0,NG,1,0.4244,0.2625,0.3131,0.3867,0.507
2025-08-23,LaLiga,Ath Madrid,Elche,1,1,2,D,H,0,0,OVER,0,1,NG,0,0.7493,0.2173,0.0334,0.6607,0.3869
2025-08-23,LaLiga,Levante,Barcelona,2,3,5,A,A,1,1,OVER,1,1,GG,1,0.1342,0.1939,0.6718,0.6607,0.6071
2025-08-23,Championship,West Brom,Portsmouth,1,1,2,D,H,0,0,OVER,0,1,NG,0,0.5872,0.2285,0.1844,0.529,0.507
2025-08-23,EPL,Arsenal,Leeds,5,0,5,H,H,1,1,OVER,1,0,GG,0,0.5467,0.2461,0.2072,0.5556,0.5476
2025-08-23,Championship,Charlton,Leicester,0,1,1,A,H,0,0,UNDER,1,0,GG,0,0.3672,0.2843,0.3485,0.4173,0.5476
2025-08-23,GreekSL,Olympiakos,Asteras Tripolis,2,0,2,H,H,1,0,UNDER,1,0,NG,1,0.7148,0.2232,0.0619,0.4792,0.3869
2025-08-23,SerieA,Roma,Bologna,1,0,1,H,H,1,0,UNDER,1,0,GG,0,0.5018,0.2711,0.2271,0.4857,0.5435
2025-08-23,SerieA,Sassuolo,Napoli,0,2,2,A,A,1,0,UNDER,1,0,NG,1,0.1315,0.2105,0.6581,0.4857,0.507
2025-08-23,LaLiga,Mallorca,Celta,1,1,2,D,A,0,0,UNDER,1,1,NG,0,0.297,0.2535,0.4496,0.4043,0.507
2025-08-23,Championship,Southampton,Stoke,1,2,3,A,H,0,1,UNDER,0,1,NG,0,0.5123,0.2528,0.2349,0.4173,0.4862
2025-08-23,SerieA,Genoa,Lecce,0,0,0,D,H,0,0,UNDER,1,0,NG,1,0.4168,0.3559,0.2273,0.3188,0.4862
2025-08-23,LeagueOne,Huddersfield,Stevenage,1,0,1,H,H,1,0,UNDER,1,0,NG,1,0.4282,0.2907,0.2811,0.4286,0.4862
2025-08-23,LeagueOne,Rotherham,Wigan,2,2,4,D,A,0,1,UNDER,0,1,NG,0,0.2502,0.2798,0.47,0.4286,0.507
2025-08-23,Eredivisie,PSV Eindhoven,Groningen,4,2,6,H,H,1,1,OVER,1,1,NG,0,0.7923,0.1743,0.0334,0.7778,0.4862
2025-08-23,LeagueOne,Luton,Cardiff,0,1,1,A,A,1,0,UNDER,1,0,GG,0,0.3233,0.3195,0.3572,0.4286,0.5476
2025-08-23,Eredivisie,Go Ahead Eagles,Sparta Rotterdam,0,3,3,A,H,0,1,OVER,1,0,GG,0,0.451,0.2998,0.2492,0.5569,0.6471
2025-08-23,Ligue1,Nice,Auxerre,3,1,4,H,H,1,1,OVER,1,1,GG,1,0.523,0.2788,0.1982,0.5632,0.5476
