Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
29/06/2018,Shamrock Rovers,Derry City,2,0,H,1.58,4.35,5.84
30/06/2018,Sligo Rovers,Waterford,2,3,A,3.24,3.14,2.46
06/07/2018,Cork City,Shamrock Rovers,0,0,D,1.79,3.35,5.7
06/07/2018,Derry City,Limerick,2,1,H,1.39,5.19,8.17
06/07/2018,St. Patricks,Dundalk,1,3,A,6.35,4.75,1.51
06/07/2018,Waterford,Bohemians,1,1,D,1.8,3.75,4.75
08/07/2018,Bray,Sligo Rovers,2,1,H,7.37,4.31,1.5
13/07/2018,Bohemians,Sligo Rovers,0,3,A,2.14,3.34,3.74
20/07/2018,Bohemians,Bray,6,0,H,1.26,6.28,12.93
20/07/2018,St. Patricks,Limerick,2,1,H,1.32,5.63,10.33
22/07/2018,Waterford,Shamrock Rovers,0,1,A,2.72,3.18,2.85
23/07/2018,Cork City,Derry City,5,0,H,1.43,4.75,8.12
27/07/2018,Bray,Cork City,1,3,A,24.21,10.49,1.12
27/07/2018,Derry City,St. Patricks,2,1,H,2.82,3.92,2.36
27/07/2018,Limerick,Waterford,2,1,H,5.14,3.82,1.74
27/07/2018,Shamrock Rovers,Sligo Rovers,2,0,H,1.6,3.77,7.02
29/07/2018,Dundalk,Bohemians,2,0,H,1.21,7.39,14.57
03/08/2018,Bohemians,Limerick,5,0,H,1.66,3.9,5.73
03/08/2018,Derry City,Sligo Rovers,1,2,A,2.34,3.37,3.25
03/08/2018,St. Patricks,Bray,3,0,H,1.15,8.96,20.01
03/08/2018,Waterford,Cork City,1,2,A,5.2,3.79,1.74
17/08/2018,Bray,Dundalk,1,3,A,27.13,12.76,1.09
17/08/2018,Derry City,Waterford,1,2,A,2.56,3.64,2.73
17/08/2018,Limerick,Sligo Rovers,1,3,A,3.61,3.24,2.24
17/08/2018,Shamrock Rovers,Bohemians,0,1,A,1.79,3.5,5.36
19/08/2018,Cork City,St. Patricks,1,1,D,1.51,4.43,7.02
20/08/2018,Sligo Rovers,Dundalk,0,2,A,7.97,4.33,1.48
28/08/2018,Dundalk,Shamrock Rovers,1,2,A,1.57,3.91,7.14
31/08/2018,Bray,Shamrock Rovers,0,3,A,12.16,5.49,1.3
31/08/2018,Cork City,Sligo Rovers,1,2,A,1.46,4.22,8.86
31/08/2018,Derry City,Bohemians,0,2,A,2.8,3.54,2.53
31/08/2018,Limerick,Dundalk,0,1,A,15.84,8.89,1.17
31/08/2018,St. Patricks,Waterford,3,0,H,2.5,3.51,2.88
14/09/2018,Bohemians,Cork City,4,2,H,4.07,3.47,2.01
14/09/2018,Waterford,Bray,2,0,H,1.19,7.45,14.84
14/09/2018,Shamrock Rovers,Limerick,5,0,H,1.13,8.56,23.06
15/09/2018,Sligo Rovers,St. Patricks,1,2,A,2.8,3.43,2.58
