date,competition,stage,home_team,away_team,home_goals,away_goals,status
2025-11-26,CL,LEAGUE_STAGE,Ath Madrid,Inter,2.0,1.0,FINISHED
2025-11-26,CL,LEAGUE_STAGE,Olympiakos,Real Madrid,3.0,4.0,FINISHED
2025-11-26,CL,LEAGUE_STAGE,Arsenal,Bayern Munich,3.0,1.0,FINISHED
2025-11-26,CL,LEAGUE_STAGE,Sporting CP,Club Brugge,3.0,0.0,FINISHED
2025-11-26,CL,LEAGUE_STAGE,Ein Frankfurt,Atalanta,0.0,3.0,FINISHED
2025-11-26,CL,LEAGUE_STAGE,Liverpool,PSV,1.0,4.0,FINISHED
2025-11-26,CL,LEAGUE_STAGE,København,FK Kairat,3.0,2.0,FINISHED
2025-11-26,CL,LEAGUE_STAGE,Paphos FC,Monaco,2.0,2.0,FINISHED
2025-11-26,CL,LEAGUE_STAGE,Paris SG,Tottenham,5.0,3.0,FINISHED
2025-12-09,CL,LEAGUE_STAGE,Monaco,Galatasaray,1.0,0.0,FINISHED
2025-12-09,CL,LEAGUE_STAGE,Inter,Liverpool,0.0,1.0,FINISHED
2025-12-09,CL,LEAGUE_STAGE,Atalanta,Chelsea,2.0,1.0,FINISHED
2025-12-09,CL,LEAGUE_STAGE,Tottenham,Slavia Praha,3.0,0.0,FINISHED
2025-12-09,CL,LEAGUE_STAGE,Union SG,Marseille,2.0,3.0,FINISHED
2025-12-09,CL,LEAGUE_STAGE,PSV,Ath Madrid,2.0,3.0,FINISHED
2025-12-09,CL,LEAGUE_STAGE,Barcelona,Ein Frankfurt,2.0,1.0,FINISHED
2025-12-09,CL,LEAGUE_STAGE,Bayern Munich,Sporting CP,3.0,1.0,FINISHED
2025-12-09,CL,LEAGUE_STAGE,FK Kairat,Olympiakos,0.0,1.0,FINISHED
2025-12-10,CL,LEAGUE_STAGE,Real Madrid,Man City,1.0,2.0,FINISHED
2025-12-10,CL,LEAGUE_STAGE,Juventus,Paphos FC,2.0,0.0,FINISHED
2025-12-10,CL,LEAGUE_STAGE,SL Benfica,Napoli,2.0,0.0,FINISHED
2025-12-10,CL,LEAGUE_STAGE,Club Brugge,Arsenal,0.0,3.0,FINISHED
2025-12-10,CL,LEAGUE_STAGE,Leverkusen,Newcastle,2.0,2.0,FINISHED
2025-12-10,CL,LEAGUE_STAGE,Ath Bilbao,Paris SG,0.0,0.0,FINISHED
2025-12-10,CL,LEAGUE_STAGE,Dortmund,Bodø/Glimt,2.0,2.0,FINISHED
2025-12-10,CL,LEAGUE_STAGE,Qarabağ Ağdam,Ajax,2.0,4.0,FINISHED
2025-12-10,CL,LEAGUE_STAGE,Villarreal,København,2.0,3.0,FINISHED
2026-01-20,CL,LEAGUE_STAGE,Inter,Arsenal,1.0,3.0,FINISHED
2026-01-20,CL,LEAGUE_STAGE,Real Madrid,Monaco,6.0,1.0,FINISHED
2026-01-20,CL,LEAGUE_STAGE,Villarreal,Ajax,1.0,2.0,FINISHED
2026-01-20,CL,LEAGUE_STAGE,Olympiakos,Leverkusen,2.0,0.0,FINISHED
2026-01-20,CL,LEAGUE_STAGE,København,Napoli,1.0,1.0,FINISHED
2026-01-20,CL,LEAGUE_STAGE,Tottenham,Dortmund,2.0,0.0,FINISHED
2026-01-20,CL,LEAGUE_STAGE,Bodø/Glimt,Man City,3.0,1.0,FINISHED
2026-01-20,CL,LEAGUE_STAGE,FK Kairat,Club Brugge,1.0,4.0,FINISHED
2026-01-20,CL,LEAGUE_STAGE,Sporting CP,Paris SG,2.0,1.0,FINISHED
2026-01-21,CL,LEAGUE_STAGE,Chelsea,Paphos FC,1.0,0.0,FINISHED
2026-01-21,CL,LEAGUE_STAGE,Bayern Munich,Union SG,2.0,0.0,FINISHED
2026-01-21,CL,LEAGUE_STAGE,Juventus,SL Benfica,2.0,0.0,FINISHED
2026-01-21,CL,LEAGUE_STAGE,Atalanta,Ath Bilbao,2.0,3.0,FINISHED
2026-01-21,CL,LEAGUE_STAGE,Newcastle,PSV,3.0,0.0,FINISHED
2026-01-21,CL,LEAGUE_STAGE,Marseille,Liverpool,0.0,3.0,FINISHED
2026-01-21,CL,LEAGUE_STAGE,Galatasaray,Ath Madrid,1.0,1.0,FINISHED
2026-01-21,CL,LEAGUE_STAGE,Qarabağ Ağdam,Ein Frankfurt,3.0,2.0,FINISHED
2026-01-21,CL,LEAGUE_STAGE,Slavia Praha,Barcelona,2.0,4.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Ath Bilbao,Sporting CP,2.0,3.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Dortmund,Inter,0.0,2.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,SL Benfica,Real Madrid,4.0,2.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,PSV,Bayern Munich,1.0,2.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Paphos FC,Slavia Praha,4.0,1.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Paris SG,Newcastle,1.0,1.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Ajax,Olympiakos,1.0,2.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Ath Madrid,Bodø/Glimt,1.0,2.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Napoli,Chelsea,2.0,3.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Ein Frankfurt,Tottenham,0.0,2.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Liverpool,Qarabağ Ağdam,6.0,0.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Barcelona,København,4.0,1.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Man City,Galatasaray,2.0,0.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Monaco,Juventus,0.0,0.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Arsenal,FK Kairat,3.0,2.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Union SG,Atalanta,1.0,0.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Club Brugge,Marseille,3.0,0.0,FINISHED
2026-01-28,CL,LEAGUE_STAGE,Leverkusen,Villarreal,3.0,0.0,FINISHED
2026-02-17,CL,PLAYOFFS,Galatasaray,Juventus,5.0,2.0,FINISHED
2026-02-17,CL,PLAYOFFS,SL Benfica,Real Madrid,0.0,1.0,FINISHED
2026-02-17,CL,PLAYOFFS,Monaco,Paris SG,2.0,3.0,FINISHED
2026-02-17,CL,PLAYOFFS,Dortmund,Atalanta,2.0,0.0,FINISHED
2026-02-18,CL,PLAYOFFS,Bodø/Glimt,Inter,3.0,1.0,FINISHED
2026-02-18,CL,PLAYOFFS,Olympiakos,Leverkusen,0.0,2.0,FINISHED
2026-02-18,CL,PLAYOFFS,Club Brugge,Ath Madrid,3.0,3.0,FINISHED
2026-02-18,CL,PLAYOFFS,Qarabağ Ağdam,Newcastle,1.0,6.0,FINISHED
2026-02-24,CL,PLAYOFFS,Ath Madrid,Club Brugge,4.0,1.0,FINISHED
2026-02-24,CL,PLAYOFFS,Newcastle,Qarabağ Ağdam,3.0,2.0,FINISHED
2026-02-24,CL,PLAYOFFS,Leverkusen,Olympiakos,0.0,0.0,FINISHED
2026-02-24,CL,PLAYOFFS,Inter,Bodø/Glimt,1.0,2.0,FINISHED
2026-02-25,CL,PLAYOFFS,Atalanta,Dortmund,4.0,1.0,FINISHED
2026-02-25,CL,PLAYOFFS,Real Madrid,SL Benfica,2.0,1.0,FINISHED
2026-02-25,CL,PLAYOFFS,Paris SG,Monaco,2.0,2.0,FINISHED
2026-02-25,CL,PLAYOFFS,Juventus,Galatasaray,3.0,2.0,FINISHED
2026-03-10,CL,LAST_16,Newcastle,Barcelona,1.0,1.0,FINISHED
2026-03-10,CL,LAST_16,Ath Madrid,Tottenham,5.0,2.0,FINISHED
2026-03-10,CL,LAST_16,Atalanta,Bayern Munich,1.0,6.0,FINISHED
2026-03-10,CL,LAST_16,Galatasaray,Liverpool,1.0,0.0,FINISHED
2026-03-11,CL,LAST_16,Leverkusen,Arsenal,1.0,1.0,FINISHED
2026-03-11,CL,LAST_16,Paris SG,Chelsea,5.0,2.0,FINISHED
2026-03-11,CL,LAST_16,Real Madrid,Man City,3.0,0.0,FINISHED
2026-03-11,CL,LAST_16,Bodø/Glimt,Sporting CP,3.0,0.0,FINISHED
2026-03-17,CL,LAST_16,Sporting CP,Bodø/Glimt,5.0,0.0,FINISHED
2026-03-17,CL,LAST_16,Chelsea,Paris SG,0.0,3.0,FINISHED
2026-03-17,CL,LAST_16,Man City,Real Madrid,1.0,2.0,FINISHED
2026-03-17,CL,LAST_16,Arsenal,Leverkusen,2.0,0.0,FINISHED
2026-03-18,CL,LAST_16,Tottenham,Ath Madrid,3.0,2.0,FINISHED
2026-03-18,CL,LAST_16,Bayern Munich,Atalanta,4.0,1.0,FINISHED
2026-03-18,CL,LAST_16,Barcelona,Newcastle,7.0,2.0,FINISHED
2026-03-18,CL,LAST_16,Liverpool,Galatasaray,4.0,0.0,FINISHED
2026-04-07,CL,QUARTER_FINALS,Real Madrid,Bayern Munich,1.0,2.0,FINISHED
2026-04-07,CL,QUARTER_FINALS,Sporting CP,Arsenal,0.0,1.0,FINISHED
2026-04-08,CL,QUARTER_FINALS,Paris SG,Liverpool,2.0,0.0,FINISHED
2026-04-08,CL,QUARTER_FINALS,Barcelona,Ath Madrid,0.0,2.0,FINISHED
2026-04-14,CL,QUARTER_FINALS,Liverpool,Paris SG,0.0,0.0,IN_PLAY
2026-04-14,CL,QUARTER_FINALS,Ath Madrid,Barcelona,1.0,2.0,IN_PLAY
2026-04-15,CL,QUARTER_FINALS,Bayern Munich,Real Madrid,,,TIMED
2026-04-15,CL,QUARTER_FINALS,Arsenal,Sporting CP,,,TIMED
2026-04-28,CL,SEMI_FINALS,Unknown,Unknown,,,SCHEDULED
2026-04-29,CL,SEMI_FINALS,Unknown,Unknown,,,SCHEDULED
2026-05-05,CL,SEMI_FINALS,Unknown,Unknown,,,SCHEDULED
2026-05-06,CL,SEMI_FINALS,Unknown,Unknown,,,SCHEDULED
2026-05-30,CL,FINAL,Unknown,Unknown,,,TIMED
