date,competition,stage,home_team,away_team,home_goals,away_goals,status
2024-11-06,CL,LEAGUE_STAGE,Paris SG,Ath Madrid,1,2,FINISHED
2024-11-06,CL,LEAGUE_STAGE,Inter,Arsenal,1,0,FINISHED
2024-11-06,CL,LEAGUE_STAGE,Bayern Munich,SL Benfica,1,0,FINISHED
2024-11-06,CL,LEAGUE_STAGE,Sparta Praha,Brest,1,2,FINISHED
2024-11-06,CL,LEAGUE_STAGE,Shaktar,Young Boys,2,1,FINISHED
2024-11-06,CL,LEAGUE_STAGE,Club Brugge,Aston Villa,1,0,FINISHED
2024-11-06,CL,LEAGUE_STAGE,Stuttgart,Atalanta,0,2,FINISHED
2024-11-26,CL,LEAGUE_STAGE,Man City,Feyenoord,3,3,FINISHED
2024-11-26,CL,LEAGUE_STAGE,Inter,RB Leipzig,1,0,FINISHED
2024-11-26,CL,LEAGUE_STAGE,Barcelona,Brest,3,0,FINISHED
2024-11-26,CL,LEAGUE_STAGE,Bayern Munich,Paris SG,1,0,FINISHED
2024-11-26,CL,LEAGUE_STAGE,Leverkusen,RB Salzburg,5,0,FINISHED
2024-11-26,CL,LEAGUE_STAGE,Sporting CP,Arsenal,1,5,FINISHED
2024-11-26,CL,LEAGUE_STAGE,Sparta Praha,Ath Madrid,0,6,FINISHED
2024-11-26,CL,LEAGUE_STAGE,Sl. Bratislava,Milan,2,3,FINISHED
2024-11-26,CL,LEAGUE_STAGE,Young Boys,Atalanta,1,6,FINISHED
2024-11-27,CL,LEAGUE_STAGE,PSV,Shaktar,3,2,FINISHED
2024-11-27,CL,LEAGUE_STAGE,Dinamo Zagreb,Dortmund,0,3,FINISHED
2024-11-27,CL,LEAGUE_STAGE,Celtic,Club Brugge,1,1,FINISHED
2024-11-27,CL,LEAGUE_STAGE,Liverpool,Real Madrid,2,0,FINISHED
2024-11-27,CL,LEAGUE_STAGE,Bologna,Lille,1,2,FINISHED
2024-11-27,CL,LEAGUE_STAGE,Monaco,SL Benfica,2,3,FINISHED
2024-11-27,CL,LEAGUE_STAGE,Crvena Zvedza,Stuttgart,5,1,FINISHED
2024-11-27,CL,LEAGUE_STAGE,Sturm Graz,Girona,1,0,FINISHED
2024-11-27,CL,LEAGUE_STAGE,Aston Villa,Juventus,0,0,FINISHED
2024-12-10,CL,LEAGUE_STAGE,Club Brugge,Sporting CP,2,1,FINISHED
2024-12-10,CL,LEAGUE_STAGE,RB Salzburg,Paris SG,0,3,FINISHED
2024-12-10,CL,LEAGUE_STAGE,Shaktar,Bayern Munich,1,5,FINISHED
2024-12-10,CL,LEAGUE_STAGE,Leverkusen,Inter,1,0,FINISHED
2024-12-10,CL,LEAGUE_STAGE,Atalanta,Real Madrid,2,3,FINISHED
2024-12-10,CL,LEAGUE_STAGE,RB Leipzig,Aston Villa,2,3,FINISHED
2024-12-10,CL,LEAGUE_STAGE,Brest,PSV,1,0,FINISHED
2024-12-10,CL,LEAGUE_STAGE,Dinamo Zagreb,Celtic,0,0,FINISHED
2024-12-10,CL,LEAGUE_STAGE,Girona,Liverpool,0,1,FINISHED
2024-12-11,CL,LEAGUE_STAGE,Feyenoord,Sparta Praha,4,2,FINISHED
2024-12-11,CL,LEAGUE_STAGE,Juventus,Man City,2,0,FINISHED
2024-12-11,CL,LEAGUE_STAGE,Arsenal,Monaco,3,0,FINISHED
2024-12-11,CL,LEAGUE_STAGE,SL Benfica,Bologna,0,0,FINISHED
2024-12-11,CL,LEAGUE_STAGE,Milan,Crvena Zvedza,2,1,FINISHED
2024-12-11,CL,LEAGUE_STAGE,Dortmund,Barcelona,2,3,FINISHED
2024-12-11,CL,LEAGUE_STAGE,Stuttgart,Young Boys,5,1,FINISHED
2024-12-11,CL,LEAGUE_STAGE,Lille,Sturm Graz,3,2,FINISHED
2024-12-11,CL,LEAGUE_STAGE,Ath Madrid,Sl. Bratislava,3,1,FINISHED
2025-01-21,CL,LEAGUE_STAGE,Crvena Zvedza,PSV,2,3,FINISHED
2025-01-21,CL,LEAGUE_STAGE,Club Brugge,Juventus,0,0,FINISHED
2025-01-21,CL,LEAGUE_STAGE,Ath Madrid,Leverkusen,2,1,FINISHED
2025-01-21,CL,LEAGUE_STAGE,Liverpool,Lille,2,1,FINISHED
2025-01-21,CL,LEAGUE_STAGE,SL Benfica,Barcelona,4,5,FINISHED
2025-01-21,CL,LEAGUE_STAGE,Bologna,Dortmund,2,1,FINISHED
2025-01-21,CL,LEAGUE_STAGE,Atalanta,Sturm Graz,5,0,FINISHED
2025-01-21,CL,LEAGUE_STAGE,Monaco,Aston Villa,1,0,FINISHED
2025-01-21,CL,LEAGUE_STAGE,Sl. Bratislava,Stuttgart,1,3,FINISHED
2025-01-22,CL,LEAGUE_STAGE,Feyenoord,Bayern Munich,3,0,FINISHED
2025-01-22,CL,LEAGUE_STAGE,Celtic,Young Boys,1,0,FINISHED
2025-01-22,CL,LEAGUE_STAGE,Milan,Girona,1,0,FINISHED
2025-01-22,CL,LEAGUE_STAGE,Real Madrid,RB Salzburg,5,1,FINISHED
2025-01-22,CL,LEAGUE_STAGE,Arsenal,Dinamo Zagreb,3,0,FINISHED
2025-01-22,CL,LEAGUE_STAGE,Sparta Praha,Inter,0,1,FINISHED
2025-01-22,CL,LEAGUE_STAGE,Shaktar,Brest,2,0,FINISHED
2025-01-22,CL,LEAGUE_STAGE,RB Leipzig,Sporting CP,2,1,FINISHED
2025-01-22,CL,LEAGUE_STAGE,Paris SG,Man City,4,2,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Inter,Monaco,3,0,FINISHED
2025-01-29,CL,LEAGUE_STAGE,RB Salzburg,Ath Madrid,1,4,FINISHED
2025-01-29,CL,LEAGUE_STAGE,PSV,Liverpool,3,2,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Dinamo Zagreb,Milan,2,1,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Juventus,SL Benfica,0,2,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Leverkusen,Sparta Praha,2,0,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Man City,Club Brugge,3,1,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Barcelona,Atalanta,2,2,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Lille,Feyenoord,6,1,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Bayern Munich,Sl. Bratislava,3,1,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Sporting CP,Bologna,1,1,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Young Boys,Crvena Zvedza,0,1,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Aston Villa,Celtic,4,2,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Dortmund,Shaktar,3,1,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Brest,Real Madrid,0,3,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Sturm Graz,RB Leipzig,1,0,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Stuttgart,Paris SG,1,4,FINISHED
2025-01-29,CL,LEAGUE_STAGE,Girona,Arsenal,1,2,FINISHED
2025-02-11,CL,PLAYOFFS,Brest,Paris SG,0,3,FINISHED
2025-02-11,CL,PLAYOFFS,Man City,Real Madrid,2,3,FINISHED
2025-02-11,CL,PLAYOFFS,Juventus,PSV,2,1,FINISHED
2025-02-11,CL,PLAYOFFS,Sporting CP,Dortmund,0,3,FINISHED
2025-02-12,CL,PLAYOFFS,Feyenoord,Milan,1,0,FINISHED
2025-02-12,CL,PLAYOFFS,Celtic,Bayern Munich,1,2,FINISHED
2025-02-12,CL,PLAYOFFS,Monaco,SL Benfica,0,1,FINISHED
2025-02-12,CL,PLAYOFFS,Club Brugge,Atalanta,2,1,FINISHED
2025-02-18,CL,PLAYOFFS,Milan,Feyenoord,1,1,FINISHED
2025-02-18,CL,PLAYOFFS,SL Benfica,Monaco,3,3,FINISHED
2025-02-18,CL,PLAYOFFS,Bayern Munich,Celtic,1,1,FINISHED
2025-02-18,CL,PLAYOFFS,Atalanta,Club Brugge,1,3,FINISHED
2025-02-19,CL,PLAYOFFS,Dortmund,Sporting CP,0,0,FINISHED
2025-02-19,CL,PLAYOFFS,Paris SG,Brest,7,0,FINISHED
2025-02-19,CL,PLAYOFFS,Real Madrid,Man City,3,1,FINISHED
2025-02-19,CL,PLAYOFFS,PSV,Juventus,3,1,FINISHED
2025-03-04,CL,LAST_16,PSV,Arsenal,1,7,FINISHED
2025-03-04,CL,LAST_16,Dortmund,Lille,1,1,FINISHED
2025-03-04,CL,LAST_16,Real Madrid,Ath Madrid,2,1,FINISHED
2025-03-04,CL,LAST_16,Club Brugge,Aston Villa,1,3,FINISHED
2025-03-05,CL,LAST_16,Feyenoord,Inter,0,2,FINISHED
2025-03-05,CL,LAST_16,Paris SG,Liverpool,0,1,FINISHED
2025-03-05,CL,LAST_16,Bayern Munich,Leverkusen,3,0,FINISHED
2025-03-05,CL,LAST_16,SL Benfica,Barcelona,0,1,FINISHED
2025-03-11,CL,LAST_16,Barcelona,SL Benfica,3,1,FINISHED
2025-03-11,CL,LAST_16,Liverpool,Paris SG,1,5,FINISHED
2025-03-11,CL,LAST_16,Inter,Feyenoord,2,1,FINISHED
2025-03-11,CL,LAST_16,Leverkusen,Bayern Munich,0,2,FINISHED
2025-03-12,CL,LAST_16,Arsenal,PSV,2,2,FINISHED
2025-03-12,CL,LAST_16,Ath Madrid,Real Madrid,3,4,FINISHED
2025-03-12,CL,LAST_16,Lille,Dortmund,1,2,FINISHED
2025-03-12,CL,LAST_16,Aston Villa,Club Brugge,3,0,FINISHED
2025-04-08,CL,QUARTER_FINALS,Arsenal,Real Madrid,3,0,FINISHED
2025-04-08,CL,QUARTER_FINALS,Bayern Munich,Inter,1,2,FINISHED
2025-04-09,CL,QUARTER_FINALS,Paris SG,Aston Villa,3,1,FINISHED
2025-04-09,CL,QUARTER_FINALS,Barcelona,Dortmund,4,0,FINISHED
2025-04-15,CL,QUARTER_FINALS,Aston Villa,Paris SG,3,2,FINISHED
2025-04-15,CL,QUARTER_FINALS,Dortmund,Barcelona,3,1,FINISHED
2025-04-16,CL,QUARTER_FINALS,Real Madrid,Arsenal,1,2,FINISHED
2025-04-16,CL,QUARTER_FINALS,Inter,Bayern Munich,2,2,FINISHED
2025-04-29,CL,SEMI_FINALS,Arsenal,Paris SG,0,1,FINISHED
2025-04-30,CL,SEMI_FINALS,Barcelona,Inter,3,3,FINISHED
2025-05-06,CL,SEMI_FINALS,Inter,Barcelona,4,3,FINISHED
2025-05-07,CL,SEMI_FINALS,Paris SG,Arsenal,2,1,FINISHED
2025-05-31,CL,FINAL,Paris SG,Inter,5,0,FINISHED
